"#instruction","registertype","num operands","imm op","test mode","instr set","options"
,,,,,,
"$text=\nInstructions on mask registers",,,,,,
,,,,,,
"kmovb","k8",2,,"ltm","avx512dq",
"kmovw","k16",2,,"ltm","avx512",
"kmovd","k32",2,,"ltm","avx512bw",
"kmovq","k64",2,,"ltm","avx512bw",
,,,,,,
"kmovw/kmovw","k16/m16","2/2",,"rndtr2","avx512",
"kmovw/kmovw","k16/32","2/2",,"rndtr2","avx512",
"kmovw/kmovw/mov","m0/k16/32","2/2/2",,"rndtr2","avx512",
"kmovw/movzx/kmovw","k16/m16/32","2/2/2",,"rndtr2","avx512",
,,,,,,
"kaddb","k8",3,,"lt","avx512dq",
"kaddw","k16",3,,"lt","avx512dq",
"kaddd","k32",3,,"lt","avx512bw",
"kaddq","k64",3,,"lt","avx512bw",
,,,,,,
"kandb","k8",3,,"lt","avx512dq",
"kandw","k16",3,,"lt","avx512",
"kandd","k32",3,,"lt","avx512bw",
"kandq","k64",3,,"lt","avx512bw",
,,,,,,
"kandnb","k8",3,,"lt","avx512dq",
"kandnw","k16",3,,"lt","avx512",
"kandnd","k32",3,,"lt","avx512bw",
"kandnq","k64",3,,"lt","avx512bw",
,,,,,,
"korb","k8",3,,"lt","avx512dq",
"korw","k16",3,,"lt","avx512",
"kord","k32",3,,"lt","avx512bw",
"korq","k64",3,,"lt","avx512bw",
,,,,,,
"kxorb","k8",3,,"lt","avx512dq",
"kxorw","k16",3,,"lt","avx512",
"kxord","k32",3,,"lt","avx512bw",
"kxorq","k64",3,,"lt","avx512bw",
,,,,,,
"kxnorb","k8",3,,"lt","avx512dq",
"kxnorw","k16",3,,"lt","avx512",
"kxnord","k32",3,,"lt","avx512bw",
"kxnorq","k64",3,,"lt","avx512bw",
,,,,,,
"knotb","k8",2,,"lt","avx512dq",
"knotw","k16",2,,"lt","avx512",
"knotd","k32",2,,"lt","avx512bw",
"knotq","k64",2,,"lt","avx512bw",
,,,,,,
"kortestb","k8",2,,"t","avx512dq",
"kortestw","k16",2,,"t","avx512",
"kortestd","k32",2,,"t","avx512bw",
"kortestq","k64",2,,"t","avx512bw",
"$text=\nRound trip latency kortestw / setb / kmovw",,,,,"avx512",
"kortestw","k16",2,,"macros=latencycf.inc","avx512",
,,,,,,
"ktestb","k8",2,,"t","avx512dq",
"ktestw","k16",2,,"t","avx512dq",
"ktestd","k32",2,,"t","avx512bw",
"ktestq","k64",2,,"t","avx512bw",
"$text=\nRound trip latency ktestw / setb / kmovw",,,,,"avx512dq",
"ktestw","k16",2,,"macros=latencycf.inc","avx512dq",
,,,,,,
"kshiftlb","k8",2,1,"lt","avx512dq",
"kshiftlw","k16",2,2,"lt","avx512",
"kshiftld","k32",2,3,"lt","avx512bw",
"kshiftlq","k64",2,4,"lt","avx512bw",
,,,,,,
"kshiftrb","k8",2,1,"lt","avx512dq",
"kshiftrw","k16",2,2,"lt","avx512",
"kshiftrd","k32",2,3,"lt","avx512bw",
"kshiftrq","k64",2,4,"lt","avx512bw",
,,,,,,
"kunpckbw","k",3,,"lt","avx512",
"kunpckwd","k",3,,"lt","avx512bw",
"kunpckdq","k",3,,"lt","avx512bw",
,,,,,,
,,,,,,
"#VPMOVM2D",512,2,,"MASKBLENDLT","avx512bw",
"VPMOVB2M/VPMOVM2B","512/k","2/2",,"rndtr2","avx512bw",
"VPMOVW2M/VPMOVM2W","512/k","2/2",,"rndtr2","avx512bw",
"VPMOVW2M/VPMOVM2W","128/k","2/2",,"rndtr2","avx512vl",
"VPMOVD2M/VPMOVM2D","512/k","2/2",,"rndtr2","avx512dq",
"VPMOVQ2M/VPMOVM2Q","512/k","2/2",,"rndtr2","avx512dq",
,,,,,,
"VPBROADCASTMB2Q/VPCMPEQD","k16/128","2/3",,"rndtr1","avx512cd",
"VPBROADCASTMB2Q/VPCMPEQD","k16/256","2/3",,"rndtr1","avx512cd",
"VPBROADCASTMB2Q/VPCMPEQD","k16/512","2/3",,"rndtr1","avx512cd",
"VPBROADCASTMW2D/VPCMPEQD","k16/128","2/3",,"rndtr1","avx512cd",
"VPBROADCASTMW2D/VPCMPEQD","k16/256","2/3",,"rndtr1","avx512cd",
"VPBROADCASTMW2D/VPCMPEQD","k16/512","2/3",,"rndtr1","avx512cd",
,,,,,,
"$text=\nMasked instructions",,,,,"avx512dq",
"vpaddd",128,3,,"masklt","avx512vl","mask=5"
"vpaddd",512,3,,"masklt","avx512","mask=5"
"vpaddd",128,3,,"masklt","avx512vl","mask=5 usezero"
"vpaddd",512,3,,"masklt","avx512","mask=5 usezero"
,,,,,,
"vaddps",128,3,,"masklt","avx512vl","mask=5"
"vaddps",512,3,,"masklt","avx512","mask=5"
"vaddps",128,3,,"masklt","avx512vl","mask=5 usezero"
"vaddps",512,3,,"masklt","avx512","mask=5 usezero"
,,,,,,
"VFMADD132PS",128,3,,"masklt","avx512vl","mask=5"
"VFMADD132PS",512,3,,"masklt","avx512","mask=5"
"VFMADD132PS",128,3,,"masklt","avx512vl","mask=5 usezero"
"VFMADD132PS",512,3,,"masklt","avx512","mask=5 usezero"
